state,district,block_id,block_name,panchayat_id,panchayat_name,n_days,rainfall_mean_mm,rainfall_min_mm,rainfall_max_mm,n_wet_days,n_cells,mapping_method,fallback_distance_m
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195802,A.NARAYANAPURAM,1,0.21248793446496608,0.21248793446496608,0.21248793446496608,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195803,AKKAMPALLI,1,0.12661251425743103,0.12661251425743103,0.12661251425743103,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195804,AKUTHOTAPALLI,1,0.1874668002128601,0.1874668002128601,0.1874668002128601,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195805,ALAMURU,1,0.0961853638291359,0.0961853638291359,0.0961853638291359,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195807,CHINNAMPALLI,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195808,CHIYYEDU,1,0.248321071267128,0.248321071267128,0.248321071267128,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195812,KAMARUPALLI,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195813,KANDUKUR,1,0.17075786700350903,0.17075786700350903,0.17075786700350903,0,6,area_weighted,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195814,KATIGANIKALVA,1,0.06575822830200195,0.06575822830200195,0.06575822830200195,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195816,KODIMI,1,0.13673954690827217,0.13673954690827217,0.13673954690827217,0,2,area_weighted,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195817,KURUGUNTA,1,0.03884572481146273,0.03884572481146273,0.03884572481146273,0,5,area_weighted,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195818,MANNILA,1,0.12661251425743103,0.12661251425743103,0.12661251425743103,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195824,SOMALADODDI,1,0.248321071267128,0.248321071267128,0.248321071267128,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195825,THATICHERLA,1,0.14991575479507446,0.14991575479507446,0.14991575479507446,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,195826,UPPARAPALLI,1,0.23310750722885132,0.23310750722885132,0.23310750722885132,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4689,ANANTAPUR,296296,Papampeta,1,0.131085803974257,0.131085803974257,0.131085803974257,0,5,area_weighted,
ANDHRA PRADESH,Anantapur,4690,ATMAKUR,195827,ATMAKUR,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,3,direct_grid,
